"id","country","useable","black","silver","gray","white","maroon","red","purple","fuchsia","green","lime","olive","yellow","navy","blue","teal","aqua","hue","saturation","value","textArea","nonTextArea","maxLevel","averageLevel","numOfLeaves","numOf1stLevelNodes","numOf2ndLevelNodes","numOf3rdLevelNodes","percentageOfLeafArea","percentageOfLeafArea2","numOfTextGroup","numOfImageArea","colorfulness1","colorfulness2","colorNumQuadTreeLeaves","intensityNumQuadTreeLeaves","colorHorizontalSymmetry","colorVerticalSymmetry","colorHorizontalBalance","colorVerticalBalance","intensityHorizontalSymmetry","intensityVerticalSymmetry","intensityHorizontalBalance","intensityVerticalBalance","colorEquilibrium","intensityEquilibrium","colorfulnessScore","complexityScore"
"570","standard",1,0.106352999806404,0.123662568628788,0.0448898300528526,0.455772399902344,0.0559226982295513,0.00324020395055413,0.0111320493742824,3.05175785797474e-06,0.0553253181278706,2.05993655981729e-05,0.0129547119140625,0.00401458749547601,0.0533134452998638,0.00760574359446764,0.0217102058231831,0.0107704158872366,26.8769584655762,28.4779342651367,193.13450088501,466879,86383,9,5.95419847328244,131,4,6,11,42.2105407714844,42.2105407714844,51,7,43.8317548623722,10.9980574875885,1984,3452,0.759638977050781,0.767884826660156,0.810645037959474,0.363787014194555,0.654066467285156,0.693785095214844,0.828443078837852,0.79939531789628,0.7837890625,0.527734375,1.94669711432457,10.703171658814
"571","standard",1,0.111836239695549,0.802723705768585,0.0369789116084576,0.710405707359314,0.149189755320549,0.00132904050406069,0.0698326081037521,0,0.143395230174065,1.37329097924521e-05,0.0555091872811317,0.0102462768554688,0.163747400045395,0.00110321049578488,0.0774765014648438,0.00814132671803236,56.8111335754395,31.8141410827637,206.865222167969,537048,63857,11,6.71966527196653,239,4,6,18,45.8454132080078,45.8454132080078,70,19,36.7209816215233,13.9812924400694,3139,2383,0.651925659179687,0.601409912109375,0.433593526430952,0.255980592116526,0.813534545898438,0.681185913085937,0.694341747208408,1,0.8841796875,0.471484375,4.09416348075904,13.670561622714
"573","standard",1,0.00341720576398075,0.0363868698477745,0.0113395694643259,0.757089972496033,0.0041656494140625,0.013824462890625,0.00302658090367913,0.000452423089882359,0.001152801560238,0.000802612281404436,0.00486297626048326,0.0043182373046875,0.00269317626953125,0.00100631709210575,0.00457534799352288,0,16.890461730957,22.0984237670898,238.108724212647,304203,96290,8,5.84615384615385,78,1,4,6,30.5551910400391,31.5408423639113,27,7,53.5241662967,10.8424736152587,472,388,0.935910034179688,0.935787963867188,0.794108376078173,0.384195976040547,0.962423706054688,0.9364501953125,0.439149862941685,1,0.8193359375,0.4814453125,2.16955662534793,7.43281134791849
"576","standard",1,0.0927963256835938,0.763304114341736,0.10364456474781,0.711978912353516,0.152124017477036,0.00271224975585938,0.099390409886837,0.000486755365272984,0.125104516744614,0,0.141053006052971,0.00475540151819587,0.0922531113028526,0.000224304196308367,0.104875184595585,0.00438156118616462,21.7853408813477,33.237281036377,213.159407806397,211748,317802,7,5.60714285714286,56,1,4,6,40.4014587402344,44.9685801630435,22,9,51.9747690145751,12.0865621149338,3010,451,0.780305480957031,0.900108337402344,0.659233827434647,0.171538263226472,0.953350830078125,0.931106567382812,0.589919279143983,1,0.8318359375,0.509375,4.55096385778243,7.17474556556706
"577","standard",1,0.0345855727791786,0.833036065101624,0.0937538146972656,0.735203564167023,0.100217439234257,0.00184173579327762,0.121877290308475,0.000458526599686593,0.0442565903067589,0,0.127339169383049,0.00518569955602288,0.0413856506347656,0.000180053713847883,0.105518341064453,0.00452728290110826,18.0410591125488,24.1754959106445,222.728369140625,212184,344215,8,5.98245614035088,57,1,3,4,42.4498748779297,47.2485563858696,20,6,50.8342308294056,11.9428185037977,2486,444,0.761334228515625,0.746319580078125,0.662901345163951,0.676038755461585,0.954849243164062,0.93260498046875,0.406052279547344,1,0.758203125,0.5439453125,3.99047913834319,7.00669010968621
"578","standard",1,0.0265830997377634,0.0550956726074219,0.0389381423592567,0.527645885944366,0.0185264591127634,0.0157989505678415,0.00954895000904799,0.000210571291972883,0.0106590269133449,3.58581528416835e-05,0.0092185977846384,0.00510940561071038,0.0254013054072857,0.00106353755109012,0.0140884397551417,0.0026702880859375,28.9408699035645,40.720255279541,202.877300262451,247201,313064,11,6.7,100,1,4,7,42.7448272705078,43.3888809724425,27,11,56.0841604654711,15.9645139939636,3746,382,0.699728393554688,0.645791625976562,0.437058183160383,0.682820387815119,0.965916442871094,0.943659973144531,0.312862691341101,1,0.772265625,0.5251953125,3.84915372645235,8.230845978638
"580","standard",1,0.0315673835575581,0.865769982337952,0.0638038665056229,0.839117407798767,0.0765724182128906,0.00239944458007812,0.0604324340820312,0.000570678734220564,0.034246064722538,0,0.0619476325809956,0.0081916805356741,0.0417633056640625,0.000151824948261492,0.0580062866210938,0.00863037072122097,17.2950576782227,23.1043113708496,237.356732177734,337139,93726,8,5.94871794871795,78,1,4,6,32.8723907470703,33.9327904485887,25,6,53.9910612904337,11.1014815253843,832,388,0.866610717773437,0.866604614257813,0.335611613517373,0.57567858190231,0.962423706054688,0.9364501953125,0.439149862941685,1,0.762890625,0.4814453125,2.79629608011281,7.64460208858588
"584","standard",1,0.00168609619140625,0.937227606773376,0.0427833572030067,0.918061077594757,0.029656982049346,0.000197601315448992,0.0447189323604107,0,0.0110427858307958,0,0.0244659427553415,0.0125579833984375,0.0388999953866005,0.00253601069562137,0.0350379943847656,0.0141288759186864,15.0902153015137,15.8425109863281,246.633219146729,464421,0,4,3.9,50,1,2,15,35.4325103759766,38.1063384615385,12,0,32.7366083700142,10.1601328352905,1407,4,0.824238586425781,0.793315124511719,0.84757984490426,0.791799176067455,1,1,NA,NA,0.5935546875,0,2.25545525756421,7.25953000857773
"590","standard",1,0.0598648078739643,0.879608929157257,0.0225700382143259,0.865673065185547,0.0836524963378906,0.0239677429199219,0.0248161312192678,0,0.0780403167009354,0,0.0548843368887901,0.00242309574969113,0.0792236328125,4.57763690064894e-06,0.0239265449345112,0.000345611566444859,2.23303604125977,8.52209854125977,234.769599151611,257491,18625,8,5.04225352112676,71,1,4,9,21.0659790039062,22.3585846807629,19,4,36.5524205726753,7.54585233780991,4,1506,1,1,NA,NA,0.928785705566406,0.778520202636719,0.295839699142085,1,0,0.5880859375,2.20148005348307,5.65123997150573
"593","standard",1,0.0522315986454487,0.857492089271545,0.0200401302427053,0.842859625816345,0.103680416941643,0.0267326347529888,0.0239044185727835,0,0.0756774917244911,0,0.0780960097908974,0.00259094242937863,0.0769035369157791,4.57763690064894e-06,0.0230064392089844,0.000340270984452218,2.67823867797852,14.6886878967285,234.644273376465,250726,80135,8,5.37704918032787,61,1,3,4,25.2426910400391,25.7866277184757,23,5,50.8148755172112,10.322092642926,4,1767,1,1,NA,NA,0.872003173828125,0.733270263671875,0.440658741995695,0.774199882191243,0,0.6578125,2.45538740962735,6.23858029907922
