"uuid","page_condition","page_id","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed","rsd"
"03f385b7-6b1b-4549-95f3-1d999b1df64a",1,"1-1",57575,50610,6965,324,1,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",9.6,384.113811499704,1.5
"05407942-f651-4129-adc8-541378ce6ac3",0,"2-1",39275,38411,864,145,1,1438,30,"laptop",0,"college",0,"English",0,0,"Y",8.337,226.497617869881,1.5
"05407942-f651-4129-adc8-541378ce6ac3",1,"2-2",68226,64903,3323,166,0.666666666666667,1438,30,"laptop",0,"college",0,"English",0,0,"Y",7.638,153.459778438593,3
"05a92b52-f72a-42f9-936c-9258bf385bf3",0,"1-1",83143,73893,9250,324,1,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",9.6,263.083106654216,3
"05a92b52-f72a-42f9-936c-9258bf385bf3",1,"1-2",82294,68337,13957,383,0.666666666666667,1212,52,"laptop",1,"graduate school",1,"English",0,1,"Y",10.485,336.274638921814,3.5
"0662696f-dad0-4850-8d7a-6a843036c294",1,"3-1",30465,29320,1145,106,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",11.081,216.916780354707,0.5
"06d98056-2cc4-4216-85e9-e3fe7d5751fe",0,"1-2",60443,45150,15293,383,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",10.485,508.970099667774,1
"06d98056-2cc4-4216-85e9-e3fe7d5751fe",1,"1-1",59757,54181,5576,324,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",9.6,358.797364389731,5
"087aef1b-10d8-4753-a39d-25591695d5fa",0,"2-2",49971,46163,3808,166,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",7.638,215.757208153716,2
"087aef1b-10d8-4753-a39d-25591695d5fa",1,"2-1",50037,46234,3803,145,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",8.337,188.173205865813,1.5
"08aad1ce-a5a5-4558-819a-80e470e455fa",0,"1-1",109193,102469,6724,324,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,9.6,189.715914081332,1.5
"08aad1ce-a5a5-4558-819a-80e470e455fa",1,"1-2",121444,112895,8549,383,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,10.485,203.551973072324,2
"08e0c3b1-652b-4be1-b8fb-e30789efca15",0,"2-2",29574,27121,2453,166,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",7.638,367.243095756056,2
"08e0c3b1-652b-4be1-b8fb-e30789efca15",1,"2-1",35608,34722,886,145,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",8.337,250.561603594263,1
"0939d037-9073-4b45-beef-4b1a9cb29fc6",0,"3-2",31204,21515,9689,120,1,1438,26,"desktop",0,"college",1,"English",0,0,"Y",10.697,334.650244015803,1.5
"0c06a58b-c629-43ce-8f6c-2a140dd88b66",1,"1-1",59194,49579,9615,324,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",9.6,392.101494584401,1
"0d304788-a11c-471d-900e-323afd0cc99d",0,"3-2",31719,30402,1317,120,1,1438,23,"desktop",0,"college",0,"Other",0,0,"N",10.697,236.826524570752,0.5
"0d304788-a11c-471d-900e-323afd0cc99d",1,"3-1",27268,25948,1320,106,1,1438,23,"desktop",0,"college",0,"Other",0,0,"N",11.081,245.105595806999,0.5
"0e27148e-216f-4fe9-9572-c1317d616ac9",1,"1-2",108710,101134,7576,383,1,1423,36,"desktop",1,"college",0,"French",0,1,"N",10.485,227.223287915043,3
"0ea68c5a-057a-46c5-afda-4dbf75e4c5c4",0,"2-2",37771,28964,8807,166,0.666666666666667,1438,29,"laptop",0,"graduate school",0,"Other",0,0,"N",7.638,343.875155365281,1
"0ea68c5a-057a-46c5-afda-4dbf75e4c5c4",1,"2-1",31760,23773,7987,145,1,1438,29,"laptop",0,"graduate school",0,"Other",0,0,"N",8.337,365.961384764228,1.5
"0ee8e6e8-930f-441a-8244-d7788041cf5b",1,"3-2",28758,19495,9263,120,1,1438,27,"desktop",0,"graduate school",0,"English",0,0,"Y",10.697,369.325468068736,0.5
"0fd5e38b-fd91-40c0-b154-d407eba53e1f",0,"1-2",83523,79095,4428,383,1,1438,41,"desktop",0,"graduate school",1,"English",0,0,"Y",10.485,290.536696377774,2
"0fd5e38b-fd91-40c0-b154-d407eba53e1f",1,"1-1",89042,84764,4278,324,0.666666666666667,1438,41,"desktop",0,"graduate school",1,"English",0,0,"Y",9.6,229.342645462696,2
"100567eb-57a5-424e-86c1-4a02cc690c8d",0,"3-2",51453,46534,4919,120,1,1423,43,"laptop",0,"college",1,"English",0,0,"Y",10.697,154.725576997464,7
"100567eb-57a5-424e-86c1-4a02cc690c8d",1,"3-1",55999,50660,5339,106,1,1423,43,"laptop",0,"college",1,"English",0,0,"Y",11.081,125.542834583498,1
"123cbcaa-5ea4-4b59-85fb-394a9549a516",0,"1-2",46695,43626,3069,383,0.666666666666667,1438,47,"desktop",2,"PhD",1,"Romanian",0,1,"N",10.485,526.750103149498,0.5
"134bf53e-1ea2-4b61-b39f-a1e444535f80",0,"3-1",57167,37473,19694,106,1,1294,62,"laptop",1,"graduate school",1,"English",0,1,"Y",11.081,169.722199983988,3
"134bf53e-1ea2-4b61-b39f-a1e444535f80",1,"3-2",77985,68085,9900,120,1,1294,62,"laptop",1,"graduate school",1,"English",0,1,"Y",10.697,105.750165234633,4
"14bf8206-4d05-43c0-84e6-984bbe11a47f",1,"1-2",74317,58511,15806,383,1,1281,59,"laptop",0,"graduate school",1,"English",0,0,"Y",10.485,392.746663020629,1.5
"154c0760-9c47-435f-8335-5f1178d12e46",1,"1-2",60628,53304,7324,383,1,1212,20,"laptop",0,"college",0,"English",0,0,"Y",10.485,431.112111661414,1
"15a5a588-84f1-47b6-8ff7-3b5dd3065df8",0,"2-1",39422,38421,1001,145,1,1212,18,"laptop",2,"college",1,"Portuguese",0,1,"N",8.337,226.438666354337,1.5
"15a5a588-84f1-47b6-8ff7-3b5dd3065df8",1,"2-2",42934,39947,2987,166,1,1212,18,"laptop",2,"college",1,"Portuguese",0,1,"N",7.638,249.330362730618,2
"16d05f08-7a7f-4b5e-ac3f-b7a64a5ec349",0,"3-2",33355,32501,854,120,1,1438,28,"desktop",0,"college",0,"English",0,0,"Y",10.697,221.531645180148,2
"16d05f08-7a7f-4b5e-ac3f-b7a64a5ec349",1,"3-1",24034,23606,428,106,1,1438,28,"desktop",0,"college",0,"English",0,0,"Y",11.081,269.423028043718,1.5
"16d93a7f-b378-4f6c-ba62-8e7479afc2d3",0,"2-1",22228,15616,6612,145,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",8.337,557.120901639344,0.5
"177ecf4d-6409-4d73-8060-099d85c7a2f4",1,"1-1",169340,155069,14271,324,0.666666666666667,1366,27,"laptop",1,"graduate school",0,"Polish",0,1,"N",9.6,125.363547839994,5
"17e9c042-57f7-4dbd-b484-3216d2baa9f7",0,"1-2",47683,44060,3623,383,1,1135,20,"desktop",0,"high school",1,"English",0,0,"Y",10.485,521.56150703586,1.5
