"id","country","useable","black","silver","gray","white","maroon","red","purple","fuchsia","green","lime","olive","yellow","navy","blue","teal","aqua","hue","saturation","value","textArea","nonTextArea","maxLevel","averageLevel","numOfLeaves","numOf1stLevelNodes","numOf2ndLevelNodes","numOf3rdLevelNodes","percentageOfLeafArea","percentageOfLeafArea2","numOfTextGroup","numOfImageArea","colorfulness1","colorfulness2","colorNumQuadTreeLeaves","intensityNumQuadTreeLeaves","colorHorizontalSymmetry","colorVerticalSymmetry","colorHorizontalBalance","colorVerticalBalance","intensityHorizontalSymmetry","intensityVerticalSymmetry","intensityHorizontalBalance","intensityVerticalBalance","colorEquilibrium","intensityEquilibrium","colorfulnessScore","complexityScore"
"668","reader",1,0.00146331789437681,0.0448791496455669,0.018402099609375,0.799929797649384,0.00179977412335575,0.0007781982421875,0.000811004661954939,0,0.000498962413985282,8.39233416627394e-06,0.00237731938250363,0.00354080204851925,0.000679779041092843,0.000307464593788609,0.00429077167063951,0.00826950091868639,13.2200035095215,21.316911315918,231.315552520752,173288,203929,6,4.90625,32,1,2,6,28.7793731689453,37.4012461232163,9,1,38.092359123908,13.5757631143495,2054,1372,0.975605773925781,0.880555725097656,0.168745383108332,0.622486377007282,0.933151245117188,0.855496215820313,0.390660046601773,0.60866542006897,0.928515625,0.759375,3.02633584745238,4.7553580769106
"669","reader",1,0.000136566159198992,0.878347754478455,0.0499351508915424,0.824842810630798,0.0617439262568951,0,0.0331512466073036,0,0.0738197341561317,0,0.0430580154061317,0.000181579584022984,0.067149356007576,0.00111541745718569,0.0920707732439041,0.0109054567292333,18.9610153198242,24.7828712463379,232.802338409424,224025,173185,5,4.73333333333333,30,1,2,7,30.3047180175781,39.3835616438356,6,1,49.6639284822083,7.33892979786265,2053,1896,0.912806701660156,0.785240173339844,0.188127740840289,0.264375586219717,0.929876708984375,0.812042236328125,0.242065397130207,0.723006390126577,0.9427734375,0.7693359375,3.18612497179351,5.18002437490341
"670","reader",1,0.0239334106445312,0.959194958209991,0.0143600460141897,0.94896924495697,0.0307403560727835,0,0.0116928098723292,0,0.0252105705440044,0,0.0101791378110647,1.06811521618511e-05,0.0310089103877544,0.00153808598406613,0.0104255676269531,0.0023345947265625,6.81259231567383,4.69878463745117,247.260868835449,236545,1511,6,5.38235294117647,34,1,2,6,18.1622314453125,24.2336140920946,10,0,17.756514863128,7.36751271548499,129,3382,0.980459594726563,0.9803955078125,1,1,0.852708435058594,0.700132751464844,0.373212099353651,0.314920027475223,0.4724609375,0.85859375,2.00069649092176,4.26962307607278
"675","reader",1,0.0245903022587299,0.959697723388672,0.0135055538266897,0.949062347412109,0.0302810668945312,0,0.0112495422363281,0,0.025183105841279,0,0.00954589806497097,9.15527380129788e-06,0.0308540351688862,0.00230102543719113,0.0102882385253906,0.00354309077374637,7.27344589233399,4.92615814208984,247.329943084717,234505,6771,6,4.82857142857143,35,1,2,6,18.4078979492188,24.1083133493205,11,1,18.5873860893265,6.99152897709737,4,3397,1,1,NA,NA,0.865794372558594,0.696070861816406,0.367314380523914,0.395294128170381,0,0.862109375,2.0078816641229,4.39566698744426
"676","reader",1,0.0232131965458393,0.95166015625,0.0166854858398438,0.940069556236267,0.037511445581913,0,0.0134544372558594,0,0.0309234615415335,0,0.0114456173032522,1.44958494274761e-05,0.0382263176143169,0.00142898561898619,0.0119834896177053,0.00155487062875181,7.82033767700195,5.30014343261719,245.725821685791,277482,6577,6,4.92307692307692,39,1,2,6,21.6719818115234,28.451422275641,9,3,17.9951237060993,8.23204591454463,4,3951,1,1,NA,NA,0.886799621582031,0.689741516113281,0.192670511795977,0.248808108641685,0,0.91875,2.10736548016429,4.9106236861521
"677","reader",1,0.0285110473632812,0.953549981117249,0.0166191104799509,0.940928637981415,0.0345924384891987,0,0.0131637575104833,0,0.0282333381474018,0,0.0113380430266261,1.75476070580771e-05,0.0353309623897076,0.00240859994664788,0.0123107908293605,0.00377426156774163,8.61633529663086,5.9232795715332,246.218991088867,273022,7297,7,4.92105263157895,38,1,2,6,21.3866424560547,28.532647971907,7,1,20.153101139741,7.8568260151353,345,4057,0.974049377441406,0.948258972167969,0.469910544863107,1,0.914335632324219,0.646888732910156,0.142515772189093,0.508716943493981,0.8455078125,0.8798828125,2.10975584601424,4.6697325460203
"699","reader",1,0.0255989078432322,0.961881279945374,0.0140769956633449,0.951466381549835,0.0284706111997366,0,0.0116561893373728,0,0.0232505798339844,0,0.00976638775318861,9.15527380129788e-06,0.0291923526674509,0.0015953064430505,0.0104927066713572,0.00257263192906976,6.85743865966797,4.68710632324219,247.703963470459,239112,2763,6,4.81081081081081,37,1,2,6,18.4535980224609,24.1625642337108,10,1,17.4014546632418,7.28997477252344,4,3400,1,1,NA,NA,0.853627014160156,0.732109069824219,0.33677993838165,0.326622345065702,0,0.888671875,2.00580945649617,4.372243857594
"700","reader",1,1.75476070580771e-05,0.0223991386592388,0.0017242431640625,0.928133368492126,8.3160397480242e-05,0.001556396484375,6.9427493144758e-05,0.000247955322265625,1.06811521618511e-05,0,9.6130374004133e-05,6.86645489622606e-06,8.392333984375e-05,0.00031280517578125,7.85827651270665e-05,9.4604489277117e-05,8.20424880981445,5.08008651733399,247.883741760254,195533,14057,9,5.31914893617021,47,1,2,10,15.9904479980469,20.5506181167833,12,4,19.3663799700715,6.44909765740092,64,2185,0.992822265625,0.992758178710938,1,1,0.917236328125,0.734375,0.311280832439639,0.33714908500317,0.8533203125,0.9380859375,2.07361115827257,4.27759318071986
"701","reader",1,0.00165863032452762,0.0652580261230469,0.0220779422670603,0.811444103717804,0.000838470470625907,8.7738037109375e-05,0.000453948974609375,7.62939464493684e-07,0.000988769577816129,2.28881845032447e-06,0.00276794424280524,0.000697326671797782,0.00102310185320675,9.9945071269758e-05,0.0002288818359375,0.000213623046875,16.733650970459,18.6287101745605,230.869817352295,133725,207120,6,4.9375,32,1,2,6,26.0044097900391,33.794944911994,6,5,25.798318106439,8.97450240046508,1911,1426,0.972087097167969,0.904417419433594,0.0493321379529489,0.433185047715219,0.920242309570312,0.863967895507812,0.425742993573251,0.609016447030475,0.955859375,0.7740234375,3.15057647173896,4.26821967402312
"709","reader",1,0.0589630119502544,0.854129016399384,0.0293403621762991,0.828843712806702,0.124462887644768,0.000299072271445766,0.048828125,0,0.0532981865108013,0,0.109518431127071,9.91821252682712e-06,0.0537292473018169,0.000614929187577218,0.0376388542354107,0.000911712646484375,8.22226867675781,24.1580787658691,235.041510772705,179463,204946,5,4.75,28,1,2,6,29.3280792236328,38.114336366016,6,2,60.475062472802,17.9775874332494,319,2056,0.953428649902344,0.947895812988281,0.758264311368467,0.099248538825494,0.929281616210938,0.84088134765625,0.258428524804178,0.609980626454641,0.8744140625,0.8068359375,3.0060962708793,4.93204273658461
